Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
RASA1,None Found,None Found,None Found,None Found,7,5,1,1,0,,,,,2,
EHD4,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,1,5,0,0,,,,,1,
BDNF,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,1,0,0,3,,,,,1,
NTRK1,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,5,4,1,0,0,,,,,1,
NTF4,None Found,"Apoptosis, Proliferation of cells",-3.81526564,None Found,1,1,0,0,0,,,,,1,
SHC1,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,4,1,0,1,2,,,,,2,
GRB2,None Found,None Found,None Found,None Found,2,1,1,0,0,,,,,2,
HRAS,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,6,4,2,0,0,,,,,2,
PLCG1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,13,6,4,2,1,,,,,2,
SOS1,None Found,None Found,None Found,None Found,7,2,4,1,0,,,,,2,
PIK3R1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,16,9,2,2,3,,,,,2,
RAC1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,2,
PIK3CA,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,328,321,7,0,0,,,,,4,
IGF1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,3,
SHC3,None Found,"Apoptosis, Proliferation of cells",3.98473104,None Found,2,1,1,0,0,,,,,1,
SHC2,None Found,None Found,None Found,None Found,4,2,1,0,1,,,,,1,
CRK,Oncogene,None Found,None Found,None Found,1,1,0,0,0,,,,,1,
CRKL,Oncogene,None Found,None Found,None Found,2,1,0,0,1,,,,,1,
SHC4,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,5,4,0,0,1,,,,,1,
KIDINS220,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,7,2,0,0,,,,,1,
NGFR,None Found,"Apoptosis, Proliferation of cells",-4.408689254,None Found,1,0,1,0,0,,,,,1,
TENC1,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
TNS3,None Found,Proliferation of cells,None Found,None Found,14,10,4,0,0,,,,,1,
TRAF3IP3,None Found,cellular homeostasis,None Found,None Found,7,4,3,0,0,,,,,1,
GPM6B,Oncogene,Apoptosis,-3.079633048,None Found,8,5,1,0,2,,,,,1,
TLN2,None Found,Proliferation of cells,None Found,None Found,12,8,1,1,2,,,,,1,
SYN3,None Found,Proliferation of cells,None Found,None Found,4,1,2,1,0,,,,,1,
ZNF12,None Found,None Found,None Found,None Found,9,4,4,1,0,,,,,1,
FBXW5,None Found,None Found,None Found,None Found,2,0,1,0,1,,,,,1,
STARD7,None Found,None Found,None Found,None Found,6,5,0,0,1,,,,,1,
STARD6,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,1,
STARD4,None Found,None Found,None Found,None Found,4,3,0,0,1,,,,,1,
STARD5,None Found,None Found,None Found,None Found,2,1,0,1,0,,,,,1,
ACOT12,None Found,None Found,None Found,None Found,1,1,0,0,0,,,,,1,
COL4A3BP,None Found,Proliferation of cells,None Found,None Found,3,3,0,0,0,,,,,1,
ACOT11,None Found,cellular homeostasis,None Found,None Found,2,2,0,0,0,,,,,1,
STARD9,None Found,None Found,None Found,None Found,7,3,4,0,0,,,,,1,
SPG20,None Found,None Found,None Found,None Found,9,4,3,0,2,,,,,1,
PCTP,None Found,Apoptosis,None Found,None Found,2,2,0,0,0,,,,,1,
PRKD1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,5,1,1,1,,,,,1,
TNS4,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,8,5,2,0,1,,,,,1,
RTKN,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,1,0,1,,,,,1,
CAV1,Oncogene,"Apoptosis, Proliferation of cells",-3.746278232,None Found,7,4,1,0,2,,,,,1,
RHOD,None Found,Proliferation of cells,None Found,None Found,1,0,1,0,0,,,,,1,
RHOBTB1,None Found,None Found,None Found,None Found,3,1,1,0,1,,,,,1,
RHOT1,None Found,None Found,None Found,None Found,9,5,2,0,2,,,,,1,
RHOBTB2,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,8,5,1,0,2,,,,,1,
RHOF,None Found,adenocarcinoma,None Found,None Found,2,1,1,0,0,,,,,1,
RAC3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
RHOH,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,1,
RHOJ,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,1,1,0,1,,,,,1,
RHOT2,None Found,None Found,None Found,None Found,2,1,1,0,0,,,,,1,
RHOG,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
RHOQ,None Found,Proliferation of cells,None Found,None Found,4,3,1,0,0,,,,,1,
RHOU,None Found,Proliferation of cells,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
RHOV,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
RHOA,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,9,8,0,0,1,,,,,2,
TLN1,None Found,Proliferation of cells,None Found,None Found,22,14,5,2,1,,,,,1,
AKT1,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,27,24,1,0,2,,,,,2,
CDK6,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,1,0,0,,,,,1,
PLCD1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,5,2,1,1,1,,,,,1,
RHOB,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,5,1,2,0,2,,,,,1,
RHOC,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,2,
RAC2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,0,1,0,1,,,,,1,
TNS1,None Found,cell movement,-3.241831262,None Found,7,5,0,0,2,,,,,1,
KRT79,None Found,adenocarcinoma,None Found,None Found,5,3,1,0,1,,,,,2,
KRT4,None Found,Proliferation of cells,None Found,None Found,4,2,1,0,1,,,,,2,
KRT78,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,2,
KRT6B,None Found,None Found,None Found,None Found,5,5,0,0,0,,,,,2,
KRT77,None Found,None Found,11.04457864,None Found,3,1,2,0,0,,,,,2,
KRT72,None Found,None Found,None Found,None Found,3,2,1,0,0,,,,,2,
