Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
KRT6A,None Found,lymphoid cancer and tumors,None Found,None Found,2,2,0,0,0,,,,,2,
KRT82,None Found,None Found,None Found,None Found,3,2,1,0,0,,,,,2,
KRT3,None Found,None Found,None Found,None Found,3,3,0,0,0,,,,,2,
KRT2,None Found,Proliferation of cells,None Found,None Found,7,4,3,0,0,,,,,2,
KRT6C,None Found,adenocarcinoma,None Found,None Found,5,3,2,0,0,,,,,2,
KRT17,None Found,"Apoptosis, Proliferation of cells",-3.197554925,None Found,3,1,0,0,2,,,,,2,
KRT80,None Found,None Found,None Found,None Found,2,0,0,0,2,,,,,2,
KRT74,None Found,None Found,None Found,None Found,5,5,0,0,0,,,,,2,
KRT81,None Found,lymphoid cancer and tumors,-3.494404338,None Found,4,1,2,1,0,,,,,2,
KRT28,None Found,None Found,None Found,None Found,6,6,0,0,0,,,,,2,
KRT25,None Found,None Found,None Found,None Found,5,3,1,1,0,,,,,1,
KRT76,None Found,None Found,None Found,None Found,4,1,3,0,0,,,,,2,
KRT35,None Found,None Found,None Found,None Found,4,1,3,0,0,,,,,1,
KRT71,None Found,None Found,None Found,None Found,3,2,1,0,0,,,,,2,
KRT15,None Found,adenocarcinoma,-3.350212449,None Found,3,1,0,0,2,,,,,2,
KRT1,None Found,inflammatory response,None Found,None Found,8,6,2,0,0,,,,,2,
KRT14,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,4,0,0,0,,,,,4,
KRT86,None Found,lymphoid cancer and tumors,None Found,None Found,6,3,2,1,0,,,,,2,
KRT84,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,2,
KRT32,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,2,
KRT27,None Found,None Found,None Found,None Found,5,2,3,0,0,,,,,1,
KRT38,None Found,None Found,None Found,None Found,3,1,1,1,0,,,,,2,
KRT33B,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
KRT16,None Found,Proliferation of cells,None Found,None Found,1,0,0,0,1,,,,,2,
KRT75,None Found,adenocarcinoma,None Found,None Found,6,2,3,0,1,,,,,2,
KRT8,None Found,"Apoptosis, Proliferation of cells",-0.2330988685,None Found,3,2,0,0,1,,,,,3,
KRT7,None Found,Proliferation of cells,None Found,None Found,4,1,0,0,3,,,,,2,
KRT37,None Found,None Found,None Found,None Found,1,1,0,0,0,,,,,2,
KRT39,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
KRT40,None Found,None Found,None Found,None Found,3,1,2,0,0,,,,,2,
KRT36,None Found,None Found,None Found,None Found,5,1,2,1,1,,,,,2,
KRT13,None Found,None Found,None Found,None Found,3,1,2,0,0,,,,,2,
KRT26,None Found,None Found,None Found,None Found,2,0,0,1,1,,,,,2,
KRT31,None Found,None Found,None Found,None Found,5,2,3,0,0,,,,,1,
KRT23,None Found,Proliferation of cells,None Found,None Found,4,2,2,0,0,,,,,2,
KRT9,None Found,None Found,None Found,None Found,11,4,6,1,0,,,,,2,
KRT10,None Found,Proliferation of cells,None Found,None Found,2,1,1,0,0,,,,,2,
KRT24,None Found,None Found,None Found,None Found,6,3,3,0,0,,,,,2,
KRT34,None Found,None Found,None Found,None Found,5,3,2,0,0,,,,,2,
KRT12,None Found,None Found,None Found,None Found,2,1,1,0,0,,,,,2,
KRT18,None Found,Apoptosis,None Found,None Found,6,3,3,0,0,,,,,3,
KRT20,None Found,transport of molecule,None Found,None Found,2,2,0,0,0,,,,,2,
KRT33A,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,2,
PLXNB1,Oncogene,Proliferation of cells,None Found,None Found,7,5,1,0,1,,,,,1,
SEMA4D,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,5,2,1,0,,,,,1,
GRB7,None Found,Proliferation of cells,None Found,None Found,3,3,0,0,0,,,,,1,
ERRFI1,Tumorsupressor,Proliferation of cells,None Found,None Found,4,0,0,1,3,,,,,1,
TFF3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
AREG,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,1,0,0,,,,,1,
BTC,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,1,
EREG,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,0,0,0,2,,,,,1,
ADAM17,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,0,3,0,0,,,,,1,
NRG1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,4,2,0,2,,,,,1,
NRG2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,1,0,0,,,,,1,
NRG3,None Found,Proliferation of cells,None Found,None Found,7,5,1,1,0,,,,,1,
PTK6,None Found,"Apoptosis, Proliferation of cells",0.471306614,None Found,3,0,3,0,0,,,,,1,
MEMO1,None Found,Proliferation of cells,None Found,None Found,2,1,1,0,0,,,,,1,
PTPN12,None Found,Proliferation of cells,None Found,None Found,6,5,0,0,1,,,,,1,
MAPK8,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,0,1,0,,,,,2,
ERBB3,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,21,18,1,0,2,,,,,1,
FYN,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,3,1,1,0,1,,,,,1,
JAK2,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,8,3,2,3,0,,,,,1,
PLCG2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,5,2,1,0,,,,,1,
PIK3R2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,0,0,2,,,,,1,
HSP90AA1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,3,
ERBB2IP,None Found,None Found,None Found,None Found,14,10,1,2,1,,,,,1,
PTK2,Cigene,None Found,None Found,None Found,9,7,1,1,0,,,,,1,
STUB1,None Found,None Found,None Found,None Found,6,3,2,0,1,,,,,2,
EGF,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,5,2,1,1,,,,,2,
PTPN18,None Found,None Found,None Found,None Found,3,1,1,0,1,,,,,1,
SUMO1,None Found,None Found,None Found,None Found,2,0,1,1,0,,,,,1,
NCOR2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,5,2,1,0,,,,,2,
PRKACB,None Found,Proliferation of cells,None Found,None Found,7,2,2,0,3,,,,,1,
PRKACA,None Found,None Found,None Found,None Found,7,5,2,0,0,,,,,1,
MED1,None Found,None Found,None Found,None Found,4,2,1,1,0,,,,,2,
NCOA1,None Found,None Found,None Found,None Found,5,5,0,0,0,,,,,2,
STIP1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,3,0,0,3,,,,,1,
HSP90AB1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,4,4,0,0,,,,,2,
PTGES3,None Found,None Found,None Found,None Found,3,2,0,0,1,,,,,1,
NR3C1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,1,1,0,,,,,2,
NR3C2,None Found,"Apoptosis, Proliferation of cells",0.1446659799,None Found,8,7,1,0,0,,,,,1,
HSPA8,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,7,5,2,0,0,,,,,1,
HSPA2,None Found,Apoptosis,None Found,None Found,5,5,0,0,0,,,,,1,
HSPA1A,Oncogene,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
HSPA1L,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,1,
HSPA1B,None Found,None Found,None Found,None Found,2,1,0,0,1,,,,,1,
ACTR1A,None Found,None Found,None Found,None Found,5,4,0,0,1,,,,,1,
MAPK3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,4,
MAPK1,None Found,None Found,None Found,None Found,2,1,0,0,1,,,,,4,
DYNLL2,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
DYNLL1,None Found,None Found,None Found,None Found,2,0,1,0,1,,,,,1,
TLE3,None Found,None Found,None Found,None Found,6,4,1,1,0,,,,,1,
CAPZA1,None Found,Proliferation of cells,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
NRIP1,None Found,Proliferation of cells,None Found,None Found,4,4,0,0,0,,,,,2,
DCTN1,None Found,Apoptosis,None Found,None Found,10,6,0,1,3,,,,,1,
FKBP5,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,7,3,1,1,2,,,,,1,
ACTR10,None Found,None Found,None Found,None Found,3,2,0,1,0,,,,,1,
DYNC1LI2,None Found,None Found,None Found,None Found,5,2,1,0,2,,,,,1,
DYNC1LI1,None Found,None Found,None Found,None Found,4,4,0,0,0,,,,,1,
DYNC1I2,None Found,None Found,None Found,None Found,1,1,0,0,0,,,,,1,
DCTN5,None Found,None Found,None Found,None Found,2,0,0,0,2,,,,,1,
DYNC1H1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,28,22,4,2,0,,,,,1,
DYNC1I1,None Found,None Found,None Found,None Found,12,7,4,1,0,,,,,1,
CAPZA3,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,1,
DCTN6,None Found,None Found,None Found,None Found,4,2,1,0,1,,,,,1,
DCTN3,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
UBE2I,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,1,
MAPK11,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
MAPK14,None Found,None Found,None Found,None Found,3,2,0,0,1,,,,,2,
EPCAM,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,3,0,0,0,3,,,,,2,
KRT73,None Found,None Found,None Found,None Found,6,4,0,1,1,,,,,1,
KRT85,None Found,None Found,None Found,None Found,3,1,2,0,0,,,,,1,
KRT83,None Found,None Found,None Found,None Found,3,1,2,0,0,,,,,1,
ING1,None Found,None Found,None Found,None Found,10,5,3,0,2,,,,,1,
RPL23,Oncogene,None Found,None Found,None Found,3,2,0,0,1,,,,,1,
M1AP,None Found,None Found,None Found,None Found,2,1,0,1,0,,,,,1,
PI4K2B,None Found,None Found,None Found,None Found,3,3,0,0,0,,,,,1,
PKP3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,0,1,0,,,,,1,
PRSS8,None Found,survival of organism,-0.32891726,None Found,4,1,2,0,1,,,,,1,
SPINT1,None Found,Apoptosis,None Found,None Found,4,2,1,0,1,,,,,1,
ST14,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,6,4,1,0,1,,,,,1,
TACSTD2,Oncogene,Proliferation of cells,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
CD81,None Found,Proliferation of cells,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
SCARB1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,3,0,1,0,,,,,1,
CCDC102A,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
RAB25,Tumorsupressor,Proliferation of cells,0.375231063,None Found,3,2,0,0,1,,,,,1,
SNAI1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,2,
CLDN12,None Found,None Found,None Found,None Found,3,2,0,0,1,,,,,1,
CLDN23,Tumorsupressor,None Found,None Found,None Found,2,0,1,0,1,,,,,1,
CLDN14,None Found,None Found,None Found,None Found,1,1,0,0,0,,,,,1,
CLDN16,None Found,None Found,None Found,None Found,5,2,2,1,0,,,,,1,
CLDN5,None Found,function of cardiovascular system,0.2515365279,None Found,1,1,0,0,0,,,,,1,
CLDN6,None Found,Proliferation of cells,None Found,None Found,4,3,1,0,0,,,,,1,
CLDN2,None Found,Proliferation of cells,None Found,None Found,3,1,2,0,0,,,,,1,
CLDN19,None Found,adenocarcinoma,-6.115489023,None Found,2,1,1,0,0,,,,,1,
CLDN3,None Found,None Found,None Found,None Found,1,0,0,0,1,,,,,1,
CLDN9,None Found,adenocarcinoma,None Found,None Found,4,0,1,0,3,,,,,1,
CLDN10,None Found,None Found,None Found,None Found,6,2,2,0,2,,,,,1,
CLDN4,None Found,Proliferation of cells,None Found,None Found,3,1,0,0,2,,,,,1,
CLDN18,None Found,None Found,None Found,None Found,6,2,2,0,2,,,,,1,
CLDN8,None Found,adenocarcinoma,None Found,None Found,5,0,5,0,0,,,,,1,
CLDN15,None Found,Proliferation of cells,None Found,None Found,2,1,0,0,1,,,,,1,
CLDN1,None Found,Proliferation of cells,None Found,None Found,3,1,0,0,2,,,,,1,
CLDN17,None Found,None Found,None Found,None Found,3,2,1,0,0,,,,,1,
CLDN22,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,1,
CLDN20,None Found,None Found,None Found,None Found,1,1,0,0,0,,,,,1,
OCLN,None Found,None Found,None Found,None Found,4,3,1,0,0,,,,,1,
ESAM,None Found,leukocyte migration cells,None Found,None Found,2,2,0,0,0,,,,,1,
CLDN25,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
TJP1,None Found,Proliferation of cells,None Found,None Found,13,7,4,2,0,,,,,1,
CLDN24,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
F11R,None Found,Proliferation of cells,None Found,None Found,2,2,0,0,0,,,,,1,
TJP3,None Found,Proliferation of cells,None Found,None Found,5,3,2,0,0,,,,,1,
TJP2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,5,4,1,0,0,,,,,1,
WNK4,None Found,Proliferation of cells,None Found,None Found,8,5,2,0,1,,,,,1,
MARVELD2,None Found,None Found,None Found,None Found,2,1,0,0,1,,,,,1,
CLDN11,None Found,Proliferation of cells,-3.998280061,None Found,2,1,1,0,0,,,,,1,
NCOA7,None Found,None Found,None Found,None Found,7,4,1,1,1,,,,,1,
NCOA2,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,12,5,4,1,2,,,,,1,
PHB2,None Found,Apoptosis,None Found,None Found,3,1,1,0,1,,,,,1,
CCNT1,None Found,None Found,None Found,None Found,9,8,1,0,0,,,,,1,
KDM1A,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,3,0,0,0,,,,,2,
CARM1,None Found,Proliferation of cells,None Found,None Found,5,3,1,0,1,,,,,1,
ZNF217,Oncogene,Proliferation of cells,None Found,None Found,14,6,2,2,4,,,,,1,
PPARGC1A,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,11,8,0,2,1,,,,,1,
IGF1R,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,11,6,1,0,4,,,,,1,
GAPDH,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,1,
NOS3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,5,2,1,1,,,,,1,
STK11,None Found,None Found,None Found,None Found,1,0,0,1,0,,,,,1,
CREBBP,None Found,None Found,None Found,None Found,20,16,3,1,0,,,,,1,
TNFRSF11A,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,0,1,0,,,,,1,
NFATC3,None Found,None Found,None Found,None Found,9,7,1,0,1,,,,,2,
NFATC2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,4,4,0,0,,,,,2,
HIST1H2BA,None Found,None Found,None Found,None Found,1,1,0,0,0,,,,,1,
H2AFZ,Cigene,Proliferation of cells,None Found,None Found,7,3,0,0,4,,,,,1,
MAPK10,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,5,0,0,4,,,,,1,
MAPK9,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,5,0,1,1,3,,,,,1,
ATF2,Tumorsupressor,None Found,None Found,Activation,7,6,0,0,1,,,,,2,
TGFB1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,2,
TNFSF11,None Found,"Apoptosis, Proliferation of cells",-6.751548692,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
CCL2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,1,
HMOX1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,1,2,0,0,,,,,1,
NFATC1,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,4,3,0,0,1,,,,,2,
FOSB,None Found,"Apoptosis, Proliferation of cells",-3.346172352,None Found,6,3,1,0,2,,,,,2,
GATA2,None Found,Proliferation of cells,None Found,None Found,5,1,1,0,3,,,,,1,
CEBPA,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
IRF8,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,1,2,1,0,,,,,1,
IRF4,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,1,
IRF2,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,1,
STAT2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,5,3,1,0,,,,,1,
ISG15,None Found,"Apoptosis, Proliferation of cells",3.709487303,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
IRF7,None Found,Apoptosis,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
OASL,None Found,morbidity or mortality,3.311502581,None Found,8,5,2,1,0,,,,,1,
MX1,None Found,"Apoptosis, Proliferation of cells",2.723655657,None Found,8,5,3,0,0,,,,,1,
IFIT1,None Found,None Found,None Found,None Found,2,1,1,0,0,,,,,1,
IFIT2,None Found,Apoptosis,None Found,None Found,3,2,1,0,0,,,,,1,
IRF5,None Found,Apoptosis,None Found,None Found,3,1,0,0,2,,,,,1,
IFI6,None Found,Apoptosis,4.327298943,None Found,3,0,0,0,3,,,,,1,
IFIT3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,5,2,2,1,0,,,,,1,
IRF3,None Found,None Found,None Found,None Found,8,4,2,0,2,,,,,1,
RNASEL,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,3,0,1,2,,,,,1,
HDAC2,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,1,
HDAC3,Repression,None Found,None Found,Repression,4,1,1,0,2,,,,,1,
RBBP7,None Found,Proliferation of cells,None Found,None Found,5,3,0,1,1,,,,,1,
RBBP4,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,0,4,0,5,,,,,1,
NR2E1,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,5,2,0,1,2,,,,,1,
RCOR1,None Found,None Found,None Found,None Found,6,1,2,0,3,,,,,1,
HDAC5,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,2,2,1,3,,,,,1,
CHD4,None Found,Proliferation of cells,None Found,None Found,32,21,6,4,1,,,,,1,
CHD3,None Found,None Found,None Found,None Found,10,5,3,1,1,,,,,1,
EED,None Found,Proliferation of cells,None Found,None Found,9,5,0,0,4,,,,,1,
MTA3,None Found,Proliferation of cells,None Found,None Found,6,5,1,0,0,,,,,1,
REST,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,0,1,0,,,,,1,
SUZ12,Oncogene,None Found,None Found,None Found,6,6,0,0,0,,,,,1,
PHC3,Tumorsupressor,None Found,None Found,None Found,9,3,3,1,2,,,,,1,
CLOCK,None Found,Proliferation of cells,None Found,None Found,9,2,2,1,4,,,,,1,
ARNTL,None Found,Proliferation of cells,None Found,None Found,3,2,1,0,0,,,,,1,
VLDLR,None Found,Proliferation of cells,None Found,None Found,8,8,0,0,0,,,,,1,
ITGAV,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,12,6,2,4,0,,,,,1,
ITGB3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,5,0,0,1,,,,,1,
HGF,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,7,5,1,0,1,,,,,1,
ALB,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,1,1,0,,,,,1,
SPARC,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,1,
VWF,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,20,9,7,4,0,,,,,1,
TGFB2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,1,
PF4,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,1,
VEGFC,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,1,
TGFB3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,2,2,0,2,,,,,1,
KNG1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,8,0,0,1,,,,,1,
AHSG,None Found,Proliferation of cells,None Found,None Found,1,0,1,0,0,,,,,1,
CFD,None Found,amyloidosis,-0.1159669837,None Found,1,0,1,0,0,,,,,1,
SERPINF2,None Found,Proliferation of cells,None Found,None Found,3,3,0,0,0,,,,,1,
SRGN,None Found,None Found,None Found,None Found,2,1,0,0,1,,,,,1,
PROS1,None Found,Proliferation of cells,-2.548957445,None Found,8,4,2,1,1,,,,,1,
F13A1,None Found,organismal death,None Found,None Found,10,4,3,2,1,,,,,1,
ORM1,None Found,Proliferation of cells,7.167244439,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
ACTN4,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,10,7,1,0,2,,,,,1,
F8,None Found,morbidity or mortality,None Found,None Found,27,18,6,3,0,,,,,1,
FGB,None Found,leukocyte migration,None Found,None Found,3,1,1,0,1,,,,,1,
FGA,None Found,cell movement,None Found,None Found,4,4,0,0,0,,,,,1,
FGG,None Found,inflammatory response,4.750993651,None Found,8,3,1,2,2,,,,,1,
HRG,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,6,1,0,1,,,,,1,
F5,None Found,organismal death,None Found,None Found,30,24,3,2,1,,,,,1,
PLAT,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,9,
SMAD2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,9,4,0,2,3,,,,,1,
LRP1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,29,18,7,3,1,,,,,1,
VTN,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,1,
ST3GAL4,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,1,
CLEC10A,None Found,Proliferation of cells,None Found,None Found,6,3,1,1,1,,,,,1,
ST3GAL2,None Found,Proliferation of cells,None Found,None Found,2,0,2,0,0,,,,,1,
ST6GALNAC4,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
ST3GAL1,None Found,Apoptosis,None Found,None Found,3,0,2,0,1,,,,,1,
ST3GAL3,None Found,Apoptosis,None Found,None Found,8,5,1,0,2,,,,,1,
ST6GALNAC3,None Found,None Found,None Found,None Found,4,3,0,0,1,,,,,1,
GALNT13,None Found,None Found,None Found,None Found,7,4,0,2,1,,,,,1,
GALNT18,None Found,None Found,None Found,None Found,5,2,3,0,0,,,,,1,
ST6GALNAC2,None Found,Proliferation of cells,None Found,None Found,2,2,0,0,0,,,,,1,
MUC16,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,155,106,41,7,1,,,,,1,
MUC5B,None Found,Apoptosis,3.959081912,None Found,36,22,14,0,0,,,,,1,
MUC5AC,None Found,None Found,None Found,None Found,2,1,1,0,0,,,,,1,
MUC4,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,66,49,14,2,1,,,,,1,
MUC6,None Found,lymphoid cancer and tumors,None Found,None Found,17,10,5,2,0,,,,,1,
MUC7,None Found,None Found,None Found,None Found,4,3,1,0,0,,,,,1,
MUC20,None Found,None Found,None Found,None Found,6,3,0,0,3,,,,,1,
MUC13,None Found,Proliferation of cells,None Found,None Found,4,4,0,0,0,,,,,1,
MUC12,None Found,None Found,None Found,None Found,5,1,3,1,0,,,,,1,
MUC17,None Found,None Found,None Found,None Found,53,40,9,4,0,,,,,1,
MUC3A,None Found,None Found,None Found,None Found,4,3,1,0,0,,,,,1,
MUC21,None Found,None Found,None Found,None Found,4,2,2,0,0,,,,,1,
MUC15,None Found,None Found,None Found,None Found,5,1,2,0,2,,,,,1,
MUCL1,None Found,None Found,None Found,None Found,1,0,0,0,1,,,,,1,
B3GNT3,None Found,Proliferation of cells,None Found,None Found,4,2,2,0,0,,,,,1,
GCNT1,None Found,Proliferation of cells,None Found,None Found,4,0,1,0,3,,,,,1,
B3GNT6,None Found,None Found,None Found,None Found,1,1,0,0,0,,,,,1,
C1GALT1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,3,1,0,2,,,,,1,
C1GALT1C1,None Found,None Found,None Found,None Found,4,4,0,0,0,,,,,1,
GALNT6,None Found,adenocarcinoma,None Found,None Found,6,1,3,0,2,,,,,1,
GALNT4,None Found,None Found,None Found,None Found,1,0,0,0,1,,,,,1,
GALNT15,None Found,None Found,None Found,None Found,2,0,1,1,0,,,,,1,
GALNT7,None Found,metabolism of carbohydrate,None Found,None Found,6,1,2,1,2,,,,,1,
GALNT3,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,1,1,0,,,,,1,
GCNT3,None Found,inflammation of intestine,9.088200432,None Found,2,1,1,0,0,,,,,1,
GALNT5,None Found,adenocarcinoma,None Found,None Found,8,6,2,0,0,,,,,1,
GALNT8,None Found,None Found,None Found,None Found,9,4,4,0,1,,,,,1,
GALNT10,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,6,6,0,0,0,,,,,1,
GALNT12,None Found,None Found,None Found,None Found,4,2,2,0,0,,,,,1,
GALNT2,None Found,Proliferation of cells,None Found,None Found,5,2,3,0,0,,,,,1,
GALNT14,None Found,adenocarcinoma,None Found,None Found,5,2,2,0,1,,,,,1,
GALNT16,None Found,None Found,None Found,None Found,2,2,0,0,0,,,,,1,
GALNT1,None Found,None Found,None Found,None Found,7,3,2,1,1,,,,,1,
GALNT9,None Found,None Found,None Found,None Found,4,2,1,0,1,,,,,1,
GALNTL6,None Found,None Found,None Found,None Found,5,1,2,1,1,,,,,1,
GALNTL5,None Found,None Found,None Found,None Found,10,5,1,3,1,,,,,1,
GALNT11,None Found,None Found,None Found,None Found,8,5,1,1,1,,,,,1,
ST6GAL1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,0,1,1,,,,,1,
WT1,Oncogene,"Apoptosis, Proliferation of cells",13.34718918,Unknown,8,2,2,0,4,,,,,0,
ABL1,"Activation, Oncogene","Apoptosis, Proliferation of cells",None Found,Activation,7,4,1,1,1,,,,,0,
GLI1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,Unknown,5,4,1,0,0,,,,,0,
GLI2,Oncogene,"Apoptosis, Proliferation of cells",None Found,Unknown,12,8,3,0,1,,,,,0,
HDAC4,Activation,"Apoptosis, Proliferation of cells",None Found,Activation,7,4,2,0,1,,,,,0,
MEF2A,Activation,Apoptosis,None Found,Activation,5,3,0,0,2,,,,,0,
MEF2C,"Activation, Oncogene","Apoptosis, Proliferation of cells",None Found,Activation,9,3,1,1,4,,,,,0,
MEF2D,Activation,"Apoptosis, Proliferation of cells",None Found,Activation,2,2,0,0,0,,,,,0,
