SERPINE1,SMAD3
SERPINE1,SMAD4
SERPINE1,SP1
SERPINE1,SRF
SERPINE1,TGIF1
SERPINE1,USF1
SERPINE1,YY1
MUC1,AR
MUC1,GATA3
MUC1,HIF1A
MUC1,PIAS1
MUC1,PIAS2
MUC1,PIAS3
MUC1,PIAS4
MUC1,STAT3
MUC1,ZEB1
KRT19,ESR1
KRT19,KLF4
KRT19,SP1
ERBB2,AR
ERBB2,ATF1
ERBB2,ATF7
ERBB2,CREB1
ERBB2,ECD
ERBB2,ELF1
ERBB2,ELK1
ERBB2,EP300
ERBB2,ETV4
ERBB2,FOXP3
ERBB2,GABPA
ERBB2,GATA4
ERBB2,JUND
ERBB2,MYB
ERBB2,NCOA3
ERBB2,PAX2
ERBB2,PGR
ERBB2,PURA
ERBB2,SP1
ERBB2,SP3
ERBB2,SP4
ERBB2,TFAP2A
ERBB2,TFAP2B
ERBB2,TFAP2C
ERBB2,VDR
ERBB2,WWP1
ERBB2,XRCC5
ERBB2,XRCC6
ERBB2,YBX1
ERBB2,YY1
DLC1,GATA3
AMH,ESR1
AR,ESR1
AVP,ESR1
BCL2,ESR1
BLM,ESR1
BRCA1,ESR1
BTG2,ESR1
CCNA2,ESR1
CCND1,ESR1
CD24,ESR1
CDH1,ESR1
CDK4,ESR1
CDKN1A,ESR1
CDKN1A,ESR1
CDKN1B,ESR1
CHAT,ESR1
CRH,ESR1
CRHBP,ESR1
CTNNB1,ESR1
CTSD,ESR1
CXCL12,ESR1
CYP19A1,ESR1
CYP1A1,ESR1
CYP1B1,ESR1
CYP2C19,ESR1
DCT,ESR1
E2F1,ESR1
EGFR,ESR1
ESR1,ESR1
ESRRA,ESR1
F12,ESR1
FLT1,ESR1
FOS,ESR1
FOXP1,ESR1
GREB1,ESR1
HSPB1,ESR1
HTRA2,ESR1
JUN,ESR1
JUNB,ESR1
KDR,ESR1
KRT19,ESR1
MDM2,ESR1
MMP13,ESR1
MYC,ESR1
NR5A2,ESR1
NRF1,ESR1
OXT,ESR1
PELP1,ESR1
PGR,ESR1
PMAIP1,ESR1
PTMA,ESR1
RARA,ESR1
RET,ESR1
RUNX2,ESR1
SERPINB9,ESR1
SERPINE1,ESR1
STAT5A,ESR1
TAC3,ESR1
TERT,ESR1
TFF1,ESR1
TGFA,ESR1
TP53,ESR1
TYMS,ESR1
UGT1A4,ESR1
UGT2B15,ESR1
VEGFA,ESR1
YWHAQ,ESR1
ZEB1,ESR1
ZFHX3,ESR1
ESR1,ARNT
ESR1,BARD1
ESR1,BARX2
ESR1,BRCA1
ESR1,ESR1
ESR1,GATA3
ESR1,HDAC1
ESR1,HDAC7
ESR1,HDAC9
